# tracer: nop
#
# entries-in-buffer/entries-written: 178/178   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-24609   [014] ..... 87078.852118: kvm_mmio: mmio write len 4 gpa 0x10000000 val 0x1
             vmm-24609   [014] ..... 87078.852135: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.852248: kvm_set_irq: gsi 4 level 1 source 0
             vmm-24609   [014] ...1. 87078.852260: kvm_apic_accept_irq: apicid 0 vec 64 (Fixed|edge)
             vmm-24609   [014] ...1. 87078.852269: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] ..... 87078.852287: kvm_set_irq: gsi 4 level 0 source 0
             vmm-24609   [014] ...1. 87078.852293: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] d..1. 87078.852334: kvm_entry: vcpu 0, rip 0x7d
             vmm-24609   [014] d..1. 87078.852349: kvm_exit: vcpu 0 reason EPT_VIOLATION rip 0x197 info1 0x0000000000000783 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852351: kvm_page_fault: vcpu 0 rip 0x197 address 0x0000000000004000 error_code 0x783
             vmm-24609   [014] d..1. 87078.852369: kvm_entry: vcpu 0, rip 0x197
             vmm-24609   [014] d..1. 87078.852379: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x19d info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852385: kvm_emulate_insn: 0:19d:a1 04 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.852388: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000004 val 0x0
             vmm-24609   [014] ..... 87078.852401: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.852430: kvm_mmio: mmio read len 4 gpa 0x10000004 val 0x2
             vmm-24609   [014] d..1. 87078.852440: kvm_entry: vcpu 0, rip 0x1a2
             vmm-24609   [014] d..1. 87078.852454: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x1a7 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852460: kvm_emulate_insn: 0:1a7:a3 14 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.852462: kvm_mmio: mmio write len 4 gpa 0x10000014 val 0x1
             vmm-24609   [014] ..... 87078.852477: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] d..1. 87078.852530: kvm_entry: vcpu 0, rip 0x1ac
             vmm-24609   [014] d..1. 87078.852546: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x8f info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852552: kvm_emulate_insn: 0:8f:c7 05 00 00 00 10 01 00 00 00 (prot32)
             vmm-24609   [014] ..... 87078.852555: kvm_mmio: mmio write len 4 gpa 0x10000000 val 0x1
             vmm-24609   [014] ..... 87078.852570: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.852633: kvm_set_irq: gsi 4 level 1 source 0
             vmm-24609   [014] ...1. 87078.852642: kvm_apic_accept_irq: apicid 0 vec 64 (Fixed|edge)
             vmm-24609   [014] ...1. 87078.852649: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] ..... 87078.852666: kvm_set_irq: gsi 4 level 0 source 0
             vmm-24609   [014] ...1. 87078.852671: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] d..1. 87078.852708: kvm_entry: vcpu 0, rip 0x99
             vmm-24609   [014] d..1. 87078.852722: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0x9b info1 0x0000000000e90040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852724: kvm_pio: pio_write at 0xe9 size 1 count 1 val 0x12 
             vmm-24609   [014] ..... 87078.852739: kvm_userspace_exit: reason KVM_EXIT_IO (2)
             vmm-24609   [014] d..1. 87078.852773: kvm_entry: vcpu 0, rip 0x9d
             vmm-24609   [014] d..1. 87078.852787: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x19d info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852794: kvm_emulate_insn: 0:19d:a1 04 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.852796: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000004 val 0x0
             vmm-24609   [014] ..... 87078.852811: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.852839: kvm_mmio: mmio read len 4 gpa 0x10000004 val 0x2
             vmm-24609   [014] d..1. 87078.852848: kvm_entry: vcpu 0, rip 0x1a2
             vmm-24609   [014] d..1. 87078.852862: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x1a7 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852868: kvm_emulate_insn: 0:1a7:a3 14 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.852870: kvm_mmio: mmio write len 4 gpa 0x10000014 val 0x1
             vmm-24609   [014] ..... 87078.852885: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] d..1. 87078.852937: kvm_entry: vcpu 0, rip 0x1ac
             vmm-24609   [014] d..1. 87078.852952: kvm_exit: vcpu 0 reason IO_INSTRUCTION rip 0xb2 info1 0x0000000000e90040 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.852954: kvm_pio: pio_write at 0xe9 size 1 count 1 val 0x13 
             vmm-24609   [014] ..... 87078.852969: kvm_userspace_exit: reason KVM_EXIT_IO (2)
             vmm-24609   [014] d..1. 87078.853003: kvm_entry: vcpu 0, rip 0xb4
             vmm-24609   [014] d..1. 87078.853017: kvm_exit: vcpu 0 reason EXTERNAL_INTERRUPT rip 0xb4 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x800000ec error_code 0x00000000
             vmm-24609   [014] d..1. 87078.853081: kvm_entry: vcpu 0, rip 0xb4
             vmm-24609   [014] d..1. 87078.853093: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xb4 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853099: kvm_emulate_insn: 0:b4:c7 05 00 00 00 10 04 00 00 00 (prot32)
             vmm-24609   [014] ..... 87078.853102: kvm_mmio: mmio write len 4 gpa 0x10000000 val 0x4
             vmm-24609   [014] ..... 87078.853116: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.853185: kvm_msi_set_irq: dst 0 vec 65 (Fixed|physical|edge)
             vmm-24609   [014] ..... 87078.853192: kvm_apic_accept_irq: apicid 0 vec 65 (Fixed|edge)
             vmm-24609   [014] d..1. 87078.853230: kvm_entry: vcpu 0, rip 0xbe
             vmm-24609   [014] d..1. 87078.853244: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x19d info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853251: kvm_emulate_insn: 0:19d:a1 04 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.853253: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000004 val 0x0
             vmm-24609   [014] ..... 87078.853268: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.853295: kvm_mmio: mmio read len 4 gpa 0x10000004 val 0x2
             vmm-24609   [014] d..1. 87078.853304: kvm_entry: vcpu 0, rip 0x1a2
             vmm-24609   [014] d..1. 87078.853318: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x1a7 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853324: kvm_emulate_insn: 0:1a7:a3 14 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.853326: kvm_mmio: mmio write len 4 gpa 0x10000014 val 0x1
             vmm-24609   [014] ..... 87078.853341: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] d..1. 87078.853392: kvm_entry: vcpu 0, rip 0x1ac
             vmm-24609   [014] d..1. 87078.853408: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xcf info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853414: kvm_emulate_insn: 0:cf:c7 05 08 00 00 10 00 60 00 00 (prot32)
             vmm-24609   [014] ..... 87078.853416: kvm_mmio: mmio write len 4 gpa 0x10000008 val 0x6000
             vmm-24609   [014] ..... 87078.853431: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] d..1. 87078.853482: kvm_entry: vcpu 0, rip 0xd9
             vmm-24609   [014] d..1. 87078.853496: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xd9 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853503: kvm_emulate_insn: 0:d9:c7 05 00 00 00 10 02 00 00 00 (prot32)
             vmm-24609   [014] ..... 87078.853505: kvm_mmio: mmio write len 4 gpa 0x10000000 val 0x2
             vmm-24609   [014] ..... 87078.853520: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.853616: kvm_set_irq: gsi 4 level 1 source 0
             vmm-24609   [014] ...1. 87078.853625: kvm_apic_accept_irq: apicid 0 vec 64 (Fixed|edge)
             vmm-24609   [014] ...1. 87078.853631: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] ..... 87078.853648: kvm_set_irq: gsi 4 level 0 source 0
             vmm-24609   [014] ...1. 87078.853653: kvm_ioapic_set_irq: pin 4 dst 0 vec 64 (Fixed|physical|edge)
             vmm-24609   [014] d..1. 87078.853690: kvm_entry: vcpu 0, rip 0xe3
             vmm-24609   [014] d..1. 87078.853705: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x19d info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853711: kvm_emulate_insn: 0:19d:a1 04 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.853714: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000004 val 0x0
             vmm-24609   [014] ..... 87078.853728: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] ..... 87078.853754: kvm_mmio: mmio read len 4 gpa 0x10000004 val 0x2
             vmm-24609   [014] d..1. 87078.853764: kvm_entry: vcpu 0, rip 0x1a2
             vmm-24609   [014] d..1. 87078.853777: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0x1a7 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-24609   [014] ..... 87078.853783: kvm_emulate_insn: 0:1a7:a3 14 00 00 10 (prot32)
             vmm-24609   [014] ..... 87078.853785: kvm_mmio: mmio write len 4 gpa 0x10000014 val 0x1
             vmm-24609   [014] ..... 87078.853800: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-24609   [014] d..1. 87078.853852: kvm_entry: vcpu 0, rip 0x1ac
             vmm-24609   [014] d..1. 87078.853867: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xf4 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
