# tracer: nop
#
# entries-in-buffer/entries-written: 206/206   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-26879   [002] ..... 99969.580501: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000010 val 0x0
             vmm-26879   [002] ..... 99969.580506: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] ..... 99969.580548: kvm_mmio: mmio read len 4 gpa 0x10000010 val 0x0
             vmm-26879   [002] d..1. 99969.580552: kvm_entry: vcpu 0, rip 0x9a
             vmm-26879   [002] d..1. 99969.580560: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xa2 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580567: kvm_mmio: mmio write len 4 gpa 0x10000014 val 0x1
             vmm-26879   [002] ..... 99969.580573: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] d..1. 99969.580615: kvm_entry: vcpu 0, rip 0xac
             vmm-26879   [002] d..1. 99969.580623: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xac info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580631: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000010 val 0x0
             vmm-26879   [002] ..... 99969.580636: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] ..... 99969.580679: kvm_mmio: mmio read len 4 gpa 0x10000010 val 0x1
             vmm-26879   [002] d..1. 99969.580682: kvm_entry: vcpu 0, rip 0xb1
             vmm-26879   [002] d..1. 99969.580690: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xba info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580697: kvm_mmio: mmio write len 4 gpa 0x10000024 val 0x0
             vmm-26879   [002] ..... 99969.580703: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] d..1. 99969.580746: kvm_entry: vcpu 0, rip 0xc4
             vmm-26879   [002] d..1. 99969.580754: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xc4 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580762: kvm_mmio: mmio write len 4 gpa 0x10000020 val 0x0
             vmm-26879   [002] ..... 99969.580768: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] d..1. 99969.580810: kvm_entry: vcpu 0, rip 0xce
             vmm-26879   [002] d..1. 99969.580818: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xce info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580826: kvm_mmio: mmio write len 4 gpa 0x10000024 val 0x1
             vmm-26879   [002] ..... 99969.580832: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] d..1. 99969.580874: kvm_entry: vcpu 0, rip 0xd8
             vmm-26879   [002] d..1. 99969.580883: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xd8 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580890: kvm_mmio: mmio write len 4 gpa 0x10000020 val 0x1
             vmm-26879   [002] ..... 99969.580896: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] d..1. 99969.580939: kvm_entry: vcpu 0, rip 0xe2
             vmm-26879   [002] d..1. 99969.580947: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xe2 info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.580954: kvm_mmio: mmio write len 4 gpa 0x10000070 val 0xb
             vmm-26879   [002] ..... 99969.580961: kvm_userspace_exit: reason KVM_EXIT_MMIO (6)
             vmm-26879   [002] d..1. 99969.581030: kvm_entry: vcpu 0, rip 0xec
             vmm-26879   [002] d..1. 99969.581038: kvm_exit: vcpu 0 reason EPT_MISCONFIG rip 0xec info1 0x0000000000000000 info2 0x0000000000000000 intr_info 0x00000000 error_code 0x00000000
             vmm-26879   [002] ..... 99969.581046: kvm_mmio: mmio unsatisfied-read len 4 gpa 0x10000070 val 0x0
