# tracer: nop
#
# entries-in-buffer/entries-written: 2647/2647   #P:40
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
             vmm-36697   [031] ...1. 136276.021753: kvm_tdp_mmu_spte_changed: as id 0 gfn 7 level 1 old_spte 6000019816e1b77 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021754: kvm_tdp_mmu_spte_changed: as id 0 gfn 8 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021755: kvm_tdp_mmu_spte_changed: as id 0 gfn 9 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021756: kvm_tdp_mmu_spte_changed: as id 0 gfn a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021757: kvm_tdp_mmu_spte_changed: as id 0 gfn b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021758: kvm_tdp_mmu_spte_changed: as id 0 gfn c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021758: kvm_tdp_mmu_spte_changed: as id 0 gfn d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021759: kvm_tdp_mmu_spte_changed: as id 0 gfn e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021760: kvm_tdp_mmu_spte_changed: as id 0 gfn f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021761: kvm_tdp_mmu_spte_changed: as id 0 gfn 10 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021762: kvm_tdp_mmu_spte_changed: as id 0 gfn 11 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021762: kvm_tdp_mmu_spte_changed: as id 0 gfn 12 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021763: kvm_tdp_mmu_spte_changed: as id 0 gfn 13 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021764: kvm_tdp_mmu_spte_changed: as id 0 gfn 14 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021765: kvm_tdp_mmu_spte_changed: as id 0 gfn 15 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021765: kvm_tdp_mmu_spte_changed: as id 0 gfn 16 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021766: kvm_tdp_mmu_spte_changed: as id 0 gfn 17 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021767: kvm_tdp_mmu_spte_changed: as id 0 gfn 18 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021768: kvm_tdp_mmu_spte_changed: as id 0 gfn 19 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021769: kvm_tdp_mmu_spte_changed: as id 0 gfn 1a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021769: kvm_tdp_mmu_spte_changed: as id 0 gfn 1b level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021770: kvm_tdp_mmu_spte_changed: as id 0 gfn 1c level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021771: kvm_tdp_mmu_spte_changed: as id 0 gfn 1d level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021772: kvm_tdp_mmu_spte_changed: as id 0 gfn 1e level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021772: kvm_tdp_mmu_spte_changed: as id 0 gfn 1f level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021773: kvm_tdp_mmu_spte_changed: as id 0 gfn 20 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021774: kvm_tdp_mmu_spte_changed: as id 0 gfn 21 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021775: kvm_tdp_mmu_spte_changed: as id 0 gfn 22 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021776: kvm_tdp_mmu_spte_changed: as id 0 gfn 23 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021776: kvm_tdp_mmu_spte_changed: as id 0 gfn 24 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021777: kvm_tdp_mmu_spte_changed: as id 0 gfn 25 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021778: kvm_tdp_mmu_spte_changed: as id 0 gfn 26 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021779: kvm_tdp_mmu_spte_changed: as id 0 gfn 27 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021779: kvm_tdp_mmu_spte_changed: as id 0 gfn 28 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021780: kvm_tdp_mmu_spte_changed: as id 0 gfn 29 level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021781: kvm_tdp_mmu_spte_changed: as id 0 gfn 2a level 1 old_spte 0 new_spte 5a0
             vmm-36697   [031] ...1. 136276.021782: kvm_tdp_mmu_spte_changed: as id 0 gfn 2b level 1 old_spte 0 new_spte 5a0
